Athlete,Nat,Gold,Silver,Bronze,Total,Year
Emma McKeon,AUS,4,0,2,6,2020
Lisa Carrington,NZL,3,0,0,3,2020
Elaine Thompson-Herah,JAM,3,0,0,3,2020
Kaylee McKeown,AUS,3,0,0,3,2020
Katie Ledecky,USA,2,2,0,4,2020
Ariarne Titmus,AUS,2,1,1,4,2020
Zhang Yufei,CHN,2,1,0,3,2020
Cate Campbell,AUS,2,0,1,3,2020
Sifan Hassan,NED,2,0,1,3,2020
Mollie O'Callaghan,AUS,2,0,1,3,2020
Svetlana Romashina,ROC RUS,2,0,0,2,2020
Shi Tingmao,CHN,2,0,0,2,2020
Vitalina Batsarashkina,ROC RUS,2,0,0,2,2020
Svetlana Kolesnichenko,ROC RUS,2,0,0,2,2020
Sydney McLaughlin,USA,2,0,0,2,2020
Chen Meng,CHN,2,0,0,2,2020
Yui Ohashi,JPN,2,0,0,2,2020
An San,KOR,2,0,0,2,2020
Sofiya Pozdnyakova,ROC,2,0,0,2,2020
Athing Mu,USA,2,0,0,2,2020
Maggie Mac Neil,CAN,1,1,1,3,2020
Suni Lee,USA,1,1,1,3,2020
Sofya Velikaya,ROC RUS,1,1,0,2,2020
Shelly-Ann Fraser-Pryce,JAM,1,1,0,2,2020
Inna Deriglazova,ROC RUS,1,1,0,2,2020
Annemiek van Vleuten,NED,1,1,0,2,2020
Laura Trott-Kenny,GBR,1,1,0,2,2020
Rebeca Andrade,BRA,1,1,0,2,2020
Katie Archibald,GBR,1,1,0,2,2020
Tamara Csipes,HUN,1,1,0,2,2020
Grace Prendergast,NZL,1,1,0,2,2020
Kerri Gowler,NZL,1,1,0,2,2020
Dalilah Muhammad,USA,1,1,0,2,2020
Chen Yuxi,CHN,1,1,0,2,2020
Wang Han,CHN,1,1,0,2,2020
Tatjana Schoenmaker,RSA,1,1,0,2,2020
Belinda Bencic,SUI,1,1,0,2,2020
Lydia Jacoby,USA,1,1,0,2,2020
Sun Yingsha,CHN,1,1,0,2,2020
