Athlete,Nat,Gold,Silver,Bronze,Total,Year_Position
Emma McKeon,AUS,4,0,2,6,Position 61
Lisa Carrington,NZL,3,0,0,3,Position 61
Elaine Thompson-Herah,JAM,3,0,0,3,Position 61
Kaylee McKeown,AUS,3,0,0,3,Position 61
Katie Ledecky,USA,2,2,0,4,Position 61
Ariarne Titmus,AUS,2,1,1,4,Position 61
Zhang Yufei,CHN,2,1,0,3,Position 61
Cate Campbell,AUS,2,0,1,3,Position 61
Sifan Hassan,NED,2,0,1,3,Position 61
Mollie O'Callaghan,AUS,2,0,1,3,Position 61
Svetlana Romashina,ROC RUS,2,0,0,2,Position 61
Shi Tingmao,CHN,2,0,0,2,Position 61
Vitalina Batsarashkina,ROC RUS,2,0,0,2,Position 61
Svetlana Kolesnichenko,ROC RUS,2,0,0,2,Position 61
Sydney McLaughlin,USA,2,0,0,2,Position 61
Chen Meng,CHN,2,0,0,2,Position 61
Yui Ohashi,JPN,2,0,0,2,Position 61
An San,KOR,2,0,0,2,Position 61
Sofiya Pozdnyakova,ROC,2,0,0,2,Position 61
Athing Mu,USA,2,0,0,2,Position 61
Maggie Mac Neil,CAN,1,1,1,3,Position 61
Suni Lee,USA,1,1,1,3,Position 61
Sofya Velikaya,ROC RUS,1,1,0,2,Position 61
Shelly-Ann Fraser-Pryce,JAM,1,1,0,2,Position 61
Inna Deriglazova,ROC RUS,1,1,0,2,Position 61
Annemiek van Vleuten,NED,1,1,0,2,Position 61
Laura Trott-Kenny,GBR,1,1,0,2,Position 61
Rebeca Andrade,BRA,1,1,0,2,Position 61
Katie Archibald,GBR,1,1,0,2,Position 61
Tamara Csipes,HUN,1,1,0,2,Position 61
Grace Prendergast,NZL,1,1,0,2,Position 61
Kerri Gowler,NZL,1,1,0,2,Position 61
Dalilah Muhammad,USA,1,1,0,2,Position 61
Chen Yuxi,CHN,1,1,0,2,Position 61
Wang Han,CHN,1,1,0,2,Position 61
Tatjana Schoenmaker,RSA,1,1,0,2,Position 61
Belinda Bencic,SUI,1,1,0,2,Position 61
Lydia Jacoby,USA,1,1,0,2,Position 61
Sun Yingsha,CHN,1,1,0,2,Position 61
